"","memory-1","memory-2","memory-3","plasmablasts-1","plasmablasts-2","plasmablasts-3","plasmacells-1","plasmacells-2","plasmacells-3","preplasmablasts-1","preplasmablasts-2","preplasmablasts-3"
"PRDM1",360.667503272606,559.774007618882,37.2532465641964,14979.3142741815,16062.3993730512,19666.5117050103,14382.0271876275,16265.8440960968,11819.3635856723,7706.51098255819,9061.64744430624,8629.14387193644
"PRDM10",434.848992453011,713.806970999801,1012.37593901484,251.053437168356,360.28119447539,364.433166516506,415.603285585365,435.414734565298,350.906704403922,299.168689174548,358.459386930271,405.888306741287
"PRDM11",231.093553550686,100.813248449383,218.336047804665,87.3356426201136,97.4411358868787,110.405942699861,123.026866255261,72.5193630553142,162.706471639453,62.5475774689466,82.0946206010233,170.777863462503
"PRDM13",0,0,0,0,0,0,0,0,1.13267628365055,2.83256445705461,5.75864797775602,8.4783570803835
"PRDM14",2.41501831126901,3.92143751085841,4.76490724248566,1.10001887102555,0,1.22970059656211,0,0,0,0.592094587253468,1.23809065151311,0
"PRDM15",131.019314152835,393.667609946137,441.491040733981,3352.90971899673,2221.29436549285,1110.15734679309,3356.59907193093,1623.10571778737,2118.46616519227,285.297211229642,203.836183347485,277.054141914302
"PRDM16",3.36266482448049,10.1050232336197,17.3954679450332,1.52259934090732,5.13005697894647,0,2.20197107095695,0.22658132144859,3.23144393822443,0.765096456019886,0,0
"PRDM2",24159.7211247692,35411.0997854515,41255.5662485475,3013.34297454858,3117.34997013184,3064.3707265149,3963.77303060411,4399.08343069509,3024.67695187826,3162.55981723817,2824.96745386552,3111.01659885283
"PRDM4",14144.9640594232,8803.03756220786,11649.6729566785,798.572469837842,603.643994175698,732.343679676008,793.450418523033,673.196158055323,465.711851665931,773.572131403939,1038.16873245175,1111.12989989881
"PRDM5",28.6523529200992,31.2588030402088,53.9199378436965,27.2386991854537,14.3137966117773,3.42396276293989,14.9543187538685,1.35707002579411,8.93879025303561,5.70833457925735,3.37439602721896,2.28610795556484
"PRDM6",2.23695859147032,0,4.02997247734397,0,1.66247969918621,0.791375382200215,0,0,20.7356177840503,0,1.27366475668545,0.429457660141106
"PRDM7",19.3138834797256,41.2066974293016,59.680090289144,38.4595386781735,31.0078005558497,24.0275001907041,68.1591529621544,34.8911421000943,95.4459799587621,23.4548780585271,9.77641601900177,17.8158298892491
"PRDM8",304.025944258101,311.12320232366,801.728141211636,32.9284840209128,51.8676955605936,139.894282777622,12.5739453850334,6.96210125874763,11.0605201041256,236.058278194392,102.930117802397,186.445899790764
"PRDX1",891.883237411534,518.814624379341,320.786118824377,5472.91033532866,6825.57695348456,6091.63582462111,7891.79335344087,11972.7349336031,3788.65930165309,11055.7363094764,14254.7147648169,10195.4791178324
"PRDX2",466.452342453759,308.269203297028,186.196897781454,3286.65554918122,3971.22809447268,4190.45483403319,2998.45907650373,3978.52798894855,2259.2936054343,3172.77825672678,3687.60755666669,3739.63410999439
"PRDX2P3",1.54816510892562,6.27947432516836,4.5687348960852,0,0,2.42639331616145,1.5697266449102,3.95750854209419,2.32366794133223,2.83752078623797,0,0
